Bill Of Materials (Listed per component)

Design C:\pcb_elegance\PcMotherBoard

April 18, 2012 19:32:11

+---+---------+-------------+-----------------+-------+
|pos|Reference|Value        |Geometry         |Part nr|
|484|R770     |10k          |K0603            |       |
|485|R771     |10k          |K0603            |       |
|486|R772     |10k          |K0603            |       |
|487|R773     |2k7          |K0603            |       |
|488|R774     |2k7          |K0603            |       |
|489|R775     |2k7          |K0603            |       |
|490|R776     |2k7          |K0603            |       |
|491|R777     |2k7          |K0603            |       |
|492|R778     |2k7          |K0603            |       |
|493|R779     |2k7          |K0603            |       |
|494|R780     |2k7          |K0603            |       |
|495|R781     |10k          |K0603            |       |
|496|R782     |10k          |K0603            |       |
|497|R783     |10k          |K0603            |       |
|498|R784     |10k          |K0603            |       |
|499|R785     |10k          |K0603            |       |
|500|R786     |10k          |K0603            |       |
|501|R787     |5k6          |K0603            |       |
|502|R788     |5k6          |K0603            |       |
|503|R789     |5k6          |K0603            |       |
|504|R790     |5k6          |K0603            |       |
|505|R791     |5k6          |K0603            |       |
|506|R792     |5k6          |K0603            |       |
|507|R793     |5k6          |K0603            |       |
|508|R794     |10k          |K0603            |       |
|509|R795     |10k          |K0603            |       |
|510|R796     |10k          |K0603            |       |
|511|R797     |10k          |K0603            |       |
|512|R798     |10k          |K0603            |       |
|513|R799     |10k          |K0603            |       |
|514|R800     |10k          |K0603            |       |
|515|R801     |10k          |K0603            |       |
|516|R802     |10k          |K0603            |       |
|517|R803     |10k          |K0603            |       |
|518|R804     |10k          |K0603            |       |
|519|R805     |10k          |K0603            |       |
|520|R806     |10k          |K0603            |       |
|521|R807     |10k          |K0603            |       |
|522|R808     |10k          |K0603            |       |
|523|R809     |10k          |K0603            |       |
|524|R900     |22R          |K0603            |       |
|525|R901     |100R         |K0603            |       |
|526|R902     |100R         |K0603            |       |
|527|R903     |22R          |K0603            |       |
|528|R904     |10R          |K0603            |       |
|529|R905     |100R         |K0603            |       |
|530|R906     |100R         |K0603            |       |
|531|R907     |10R          |K0603            |       |
|532|R908     |220R         |K0603            |       |
|533|R909     |75R          |K0603            |       |
|534|R910     |180R         |K0603            |       |
|535|R911     |180R         |K0603            |       |
|536|R912     |180R         |K0603            |       |
|537|R913     |10R          |K0603            |       |
|538|R914     |220R         |K0603            |       |
|539|R915     |10R          |K0603            |       |
|540|R916     |220R         |K0603            |       |
|541|R917     |10R          |K0603            |       |
|542|RP600    |1k           |sil8             |       |
|543|RP601    |1k           |sil8             |       |
|544|RP602    |1k           |sil8             |       |
|545|U100     |34091        |BGA_324          |       |
|546|U200     |SOCKET7      |pga321_026_zif   |       |
|547|U201     |sram32kx32   |qfp100_m65       |       |
|548|U202     |sram32kx32   |qfp100_m65       |       |
|549|U203     |SRAM32KX8_H  |so28             |       |
|550|U204     |CLOCKSYNTH   |ssop48           |       |
