;
;
;
;
;
;
;
;Symbolname     Code1  Code2 PartNr        Value             Geometry             Description
R                   1  120   ""            "150K"            K0805                "RESISTOR 150K OHM"
R                   1  120   ""            "180K"            K0805                "RESISTOR 180K OHM"
R                   1  120   ""            "220K"            K0805                "RESISTOR 220K OHM"
R                   1  120   ""            "270K"            K0805                "RESISTOR 270K OHM"
R                   1  120   ""            "330K"            K0805                "RESISTOR 330K OHM"
R                   1  120   ""            "390K"            K0805                "RESISTOR 390K OHM"
R                   1  120   ""            "470K"            K0805                "RESISTOR 470K OHM"
R                   1  120   ""            "560K"            K0805                "RESISTOR 560K OHM"
R                   1  120   ""            "680K"            K0805                "RESISTOR 680K OHM"
R                   1  120   ""            "820K"            K0805                "RESISTOR 820K OHM"
R                   1  120   ""            "1M0"             K0805                "RESISTOR 1.0M OHM"
R                   1  120   ""            "1M2"             K0805                "RESISTOR 1.2M OHM"
R                   1  120   ""            "1M5"             K0805                "RESISTOR 1.5M OHM"
R                   1  120   ""            "1M8"             K0805                "RESISTOR 1.8M OHM"
R                   1  120   ""            "2M2"             K0805                "RESISTOR 2.2M OHM"
R                   1  120   ""            "2M7"             K0805                "RESISTOR 2.7M OHM"
R                   1  120   ""            "3M3"             K0805                "RESISTOR 3.3M OHM"
R                   1  120   ""            "3M9"             K0805                "RESISTOR 3.9M OHM"
R                   1  120   ""            "4M7"             K0805                "RESISTOR 4.7M OHM"
R                   1  120   ""            "5M6"             K0805                "RESISTOR 5.6M OHM"
R                   1  120   ""            "6M8"             K0805                "RESISTOR 6.8M OHM"
R                   1  120   ""            "8M2"             K0805                "RESISTOR 8.2M OHM"
R                   1  120   ""            "10M"             K0805                "RESISTOR 10M OHM"
R                   1  130   ""            "0R"              K1206                "RESISTOR 0 OHM"
R                   1  130   ""            "1R0"             K1206                "RESISTOR 1.0 OHM"
R                   1  130   ""            "1R2"             K1206                "RESISTOR 1.2 OHM"
R                   1  130   ""            "1R5"             K1206                "RESISTOR 1.5 OHM"
